INFO  - 2016-02-25 16:19:55.713; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/extraction/lib/jhighlight-1.0.jar' to classloader
INFO  - 2016-02-25 16:19:55.717; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2016-02-25 16:19:55.720; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2016-02-25 16:19:55.724; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/extraction/lib/pdfbox-1.8.4.jar' to classloader
INFO  - 2016-02-25 16:19:55.738; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/extraction/lib/poi-3.10.1.jar' to classloader
INFO  - 2016-02-25 16:19:55.741; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/extraction/lib/poi-ooxml-3.10.1.jar' to classloader
INFO  - 2016-02-25 16:19:55.745; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/extraction/lib/poi-ooxml-schemas-3.10.1.jar' to classloader
INFO  - 2016-02-25 16:19:55.758; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/extraction/lib/poi-scratchpad-3.10.1.jar' to classloader
INFO  - 2016-02-25 16:19:55.763; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2016-02-25 16:19:55.766; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2016-02-25 16:19:55.770; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/extraction/lib/tika-core-1.5.jar' to classloader
INFO  - 2016-02-25 16:19:55.773; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/extraction/lib/tika-parsers-1.5.jar' to classloader
INFO  - 2016-02-25 16:19:55.777; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/extraction/lib/tika-xmp-1.5.jar' to classloader
INFO  - 2016-02-25 16:19:55.790; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2016-02-25 16:19:55.794; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2016-02-25 16:19:55.798; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2016-02-25 16:19:55.801; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/extraction/lib/xmlbeans-2.6.0.jar' to classloader
INFO  - 2016-02-25 16:19:55.805; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/extraction/lib/xmpcore-5.1.2.jar' to classloader
INFO  - 2016-02-25 16:19:55.808; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/extraction/lib/xz-1.4.jar' to classloader
INFO  - 2016-02-25 16:19:55.823; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/dist/solr-cell-4.9.1.jar' to classloader
INFO  - 2016-02-25 16:19:55.827; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/clustering/lib/attributes-binder-1.2.1.jar' to classloader
INFO  - 2016-02-25 16:19:55.831; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/clustering/lib/carrot2-mini-3.9.0.jar' to classloader
INFO  - 2016-02-25 16:19:55.834; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2016-02-25 16:19:55.837; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2016-02-25 16:19:55.842; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
INFO  - 2016-02-25 16:19:55.855; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2016-02-25 16:19:55.859; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2016-02-25 16:19:55.862; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2016-02-25 16:19:55.867; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/dist/solr-clustering-4.9.1.jar' to classloader
INFO  - 2016-02-25 16:19:55.870; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2016-02-25 16:19:55.874; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2016-02-25 16:19:55.888; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/dist/solr-langid-4.9.1.jar' to classloader
INFO  - 2016-02-25 16:19:55.892; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/velocity/lib/commons-beanutils-1.8.3.jar' to classloader
INFO  - 2016-02-25 16:19:55.896; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2016-02-25 16:19:55.907; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2016-02-25 16:19:55.910; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2016-02-25 16:19:55.914; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/solr-4.9.1/dist/solr-velocity-4.9.1.jar' to classloader
INFO  - 2016-02-25 16:19:55.970; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2016-02-25 16:19:55.978; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_4_9
INFO  - 2016-02-25 16:19:56.122; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2016-02-25 16:19:56.134; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2016-02-25 16:19:56.185; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2016-02-25 16:19:56.512; org.apache.solr.schema.IndexSchema; unique key field: id
